time,mp_concentration
2018-08-19,1.0520340584011219
2018-08-26,1.0853681109845181
2018-09-02,1.1254349087190454
2018-09-09,1.1584739973467075
2018-09-16,1.133728433101439
2018-09-23,1.1070425826803925
2018-09-30,1.0913284033998838
2018-10-07,1.0830729947709477
2018-10-14,1.0867553909584113
2018-10-21,1.112071181391233
2018-10-28,1.1190223663333707
2018-11-04,1.1019121975824782
2018-11-11,1.0856724048713045
2018-11-18,1.0707278571052516
2018-11-25,1.0481804339809113
2018-12-02,1.0549975231135107
2018-12-09,1.0684429253835448
2018-12-16,1.0742930731047207
2018-12-23,1.080181816538166
2018-12-30,1.0791242799744054
2019-01-06,1.0611914149945538
2019-01-13,1.0509503231100157
2019-01-20,1.0499703876917312
2019-01-27,1.057982679622938
2019-02-03,1.0705177053834853
2019-02-10,1.0799628616694097
2019-02-17,1.0802832049106157
2019-02-24,1.0642074176373844
2019-03-03,1.0604013325521833
2019-03-10,1.0557915739958144
2019-03-17,1.0704272975321485
2019-03-24,1.0843125176686306
2019-03-31,1.0988284622155982
2019-04-07,1.0951467098753214
2019-04-14,1.0919732222106036
2019-04-21,1.0910934577082705
2019-04-28,1.0897385456884034
2019-05-05,1.1064957339988764
2019-05-12,1.1188557503877434
2019-05-19,1.1191011381100953
2019-05-26,1.100153394369186
2019-06-02,1.073128892034204
2019-06-09,1.0542422552444763
2019-06-16,1.060508082415752
2019-06-23,1.0972170765954543
2019-06-30,1.1210860487490737
2019-07-07,1.1192223920948354
2019-07-14,1.092765950279596
2019-07-21,1.0720809663529953
2019-07-28,1.0650478606360738
2019-08-04,1.0903975291372325
2019-08-11,1.1093892652004682
2019-08-18,1.1312635051189326
2019-08-25,1.1457536840721165
2019-09-01,1.120220050870225
2019-09-08,1.0840297985157579
2019-09-15,1.0806155822410581
2019-09-22,1.0748435741557327
2019-09-29,1.0758356139011287
2019-10-06,1.0982049020683546
2019-10-13,1.091118661399055
2019-10-20,1.0896985686312604
2019-10-27,1.067823684865609
2019-11-03,1.0594737594696533
2019-11-10,1.0450767627638657
2019-11-17,1.0462982696466312
2019-11-24,1.0627535170391276
2019-12-01,1.0952819529034832
2019-12-08,1.1194624300323808
2019-12-15,1.106906051957857
2019-12-22,1.096981779714466
2019-12-29,1.0839371898776733
2020-01-05,1.042304602610139
2020-01-12,1.0648304041753158
2020-01-19,1.0753129855801478
2020-01-26,1.0749195949490233
2020-02-02,1.0717843283945754
2020-02-09,1.0659300249324668
2020-02-16,1.051417650810808
2020-02-23,1.0574606834428315
2020-03-01,1.0689035219546572
2020-03-08,1.0872877238124439
2020-03-15,1.0917408519077372
2020-03-22,1.086317071499962
2020-03-29,1.0800740599317233
2020-04-05,1.0650919817278373
2020-04-12,1.0485303941927093
2020-04-19,1.1041431983225574
2020-04-26,1.1461098369232199
2020-05-03,1.1556052367023384
2020-05-10,1.1470806414177643
2020-05-17,1.109511841998519
2020-05-24,1.067789736559397
2020-05-31,1.0661754828926937
2020-06-07,1.093894075907653
2020-06-14,1.1314866391412468
2020-06-21,1.1370294610407023
2020-06-28,1.1136075061357102
2020-07-05,1.0870753713039303
2020-07-12,1.0687067856670012
2020-07-19,1.0717246613198295
2020-07-26,1.0970460473700194
2020-08-02,1.1514966722087865
2020-08-09,1.1841604681644289
2020-08-16,1.153182978228847
2020-08-23,1.115942845238986
2020-08-30,1.1035350085636093
2020-09-06,1.0828561470384392
2020-09-13,1.0881463350081133
2020-09-20,1.098726535352774
2020-09-27,1.1273725141492636
2020-10-04,1.1140218042409367
2020-10-11,1.080283146379053
2020-10-18,1.0658930915165705
2020-10-25,1.0549383594102015
2020-11-01,1.0565166629912572
2020-11-08,1.0850094646888548
2020-11-15,1.108884828489092
2020-11-22,1.1035233607826849
2020-11-29,1.093576975315006
2020-12-06,1.077140516554051
2020-12-13,1.073621575607843
2020-12-20,1.0728240830696683
2020-12-27,1.070147902972022
2021-01-03,1.0779790748364302
2021-01-10,1.0919478780440692
2021-01-17,1.0579101121918313
2021-01-24,1.063089254081254
2021-01-31,1.0774163523951816
2021-02-07,1.0737592067237522
2021-02-14,1.081756619931788
2021-02-21,1.087509101887885
2021-02-28,1.0917135293743925
2021-03-07,1.071516663559561
2021-03-14,1.0475130805186539
2021-03-21,1.0524939525934849
2021-03-28,1.0524769316151288
2021-04-04,1.0817078280213424
2021-04-11,1.0889026330326463
2021-04-18,1.0935815993084383
2021-04-25,1.093732552207958
2021-05-02,1.0708368662871302
2021-05-09,1.0816594926570837
2021-05-16,1.0883244933778526
2021-05-23,1.1160363669694442
2021-05-30,1.1497492007059815
2021-06-06,1.1518956467509673
2021-06-13,1.138948547084566
2021-06-20,1.1162432526300266
2021-06-27,1.087191427685926
2021-07-04,1.0763326171040755
2021-07-11,1.0955877686108928
2021-07-18,1.1336494623174018
2021-07-25,1.168289939374344
2021-08-01,1.148187321081345
2021-08-08,1.1114865213203837
2021-08-15,1.1014723914223425
2021-08-22,1.0978071801016098
2021-08-29,1.1109304363583152
2021-09-05,1.1340690282632475
2021-09-12,1.1372441196927758
2021-09-19,1.1202039898094929
2021-09-26,1.0976485361547865
2021-10-03,1.0839439210073534
2021-10-10,1.0602400546850503
2021-10-17,1.0470688961976484
2021-10-24,1.0653176326073361
2021-10-31,1.0824374707723428
2021-11-07,1.085828332953631
2021-11-14,1.0890116773334626
2021-11-21,1.0845074745967886
2021-11-28,1.0715886339687308
2021-12-05,1.069360384212086
2021-12-12,1.0624693814224437
2021-12-19,1.0808576453706638
2021-12-26,1.0770326897097338
