time,mp_concentration
2021-11-25,1.0740252560876438
2021-08-24,1.1036199729796399
2024-12-01,1.0720407317569776
2024-05-13,1.073600539364304
2025-02-24,1.044480525149967
2020-10-31,1.0600577873996282
2020-09-30,1.1167915997195412
2018-09-28,1.0904121269089038
2018-10-29,1.11081819623419
2020-07-23,1.0943905172076005
2024-03-30,1.0633844755758628
2025-04-07,1.0878945556391435
2020-11-23,1.0953488544793462
2020-08-22,1.1084428800737716
2025-05-15,1.1259149377688862
2024-02-22,1.0825405682664155
2021-01-06,1.1040859895734336
2024-04-01,1.0829473392127127
2021-07-25,1.1769773109340493
2020-09-21,1.105512719820408
2020-10-20,1.0568300878017833
2023-11-29,1.0749669586893456
2023-08-28,1.0737984345768963
2025-04-16,1.0761370397413557
2024-03-21,1.0389839548911477
2024-12-10,1.1184046710486832
2024-05-02,1.0664452548639558
2020-01-11,1.0782029346501185
2021-06-26,1.0754999236842522
2021-09-27,1.0883669638795552
2021-10-26,1.082288507945946
2024-04-10,1.1203509274438292
2025-03-27,1.1004054663959677
2023-07-29,1.111628460359288
2021-01-17,1.0536844962797223
2020-06-20,1.1325296364648985
2025-05-04,1.1318955523427292
2020-06-13,1.1384117541254761
2021-01-24,1.0671552193036657
2023-10-08,1.0907276120304277
2023-09-09,1.0639621820970948
2020-11-01,1.0636040859981184
2018-11-19,1.0568258267040382
2018-08-18,1.0560337541885447
2021-07-07,1.092071168927182
2025-03-14,1.0970435422191473
2024-04-23,1.0945565361312906
2021-09-14,1.1248971909612688
2021-10-15,1.0461523504614811
2024-05-31,1.1475556601658605
2025-02-06,1.0661655793523297
2021-06-15,1.126550169109679
2020-01-22,1.064575616284037
2024-12-23,1.0787055802956842
2021-08-06,1.107544771779771
2021-11-07,1.0873919919377655
2024-03-12,1.0565118165778877
2025-04-25,1.1009750604426463
2020-07-01,1.0878920973135213
2023-06-08,1.1005777950220885
2020-09-12,1.0925848770380477
2020-10-13,1.0675907526597435
2025-03-05,1.0530856481581388
2021-07-16,1.1378340476042441
2023-01-28,1.0534592317085354
2021-10-04,1.0798841015989973
2021-09-05,1.1381049550878175
2024-02-11,1.0636612830409298
2025-05-26,1.10282019771053
2023-09-18,1.099817352962935
2023-10-19,1.081830276049956
2020-06-02,1.0842094435871827
2018-11-08,1.0850883769413295
2020-11-10,1.1053449800687822
2020-08-11,1.1641028138176923
2020-07-10,1.0670363182877356
2024-03-03,1.0705444308948933
2020-10-02,1.1095091378403346
2020-09-03,1.084761337689381
2023-06-19,1.1482934856292895
2021-06-04,1.1454707542056188
2025-02-17,1.0474863198883089
2024-05-20,1.1056288347339662
2021-11-16,1.0923701832670367
2021-08-17,1.100551408993743
2024-03-05,1.0657916680251833
2020-07-16,1.0677272716759665
2022-01-28,1.0800124261964794
2020-10-04,1.1017997467447282
2020-09-05,1.0779362882642904
2022-09-18,1.0797177548985575
2025-02-11,1.0541845197112907
2024-05-26,1.130518808050074
2022-10-19,1.088241425384445
2021-06-02,1.1490846567587212
2019-08-09,1.1108524489045268
2019-11-08,1.0437858842733028
2021-11-10,1.085768841473572
2021-08-11,1.1006936641030844
2021-07-10,1.0968855538258233
2025-03-03,1.0399991614289552
2019-07-08,1.1051173391161606
2021-10-02,1.081343937297685
2021-09-03,1.1341822868365588
2022-06-19,1.0816152545021953
2020-06-04,1.091351698961733
2024-02-17,1.0725284635604349
2025-05-20,1.1131700763570096
2020-11-16,1.1099254962565588
2020-08-17,1.1284012883032435
2021-06-13,1.133380872683701
2020-01-24,1.0784040256860197
2022-10-08,1.1036733186456429
2022-09-09,1.1042003836590562
2021-11-01,1.084259593429877
2019-11-19,1.055997125136773
2024-12-25,1.0769722968436135
2019-08-18,1.1435553907691258
2020-07-07,1.0709970905861392
2024-03-14,1.0564682222701862
2025-04-23,1.0885762493341973
2020-09-14,1.0946830579566498
2020-10-15,1.0662473596513637
2025-05-31,1.1025779706925496
2024-02-06,1.0528721016057514
2020-06-15,1.1381875548287257
2021-01-22,1.0687469851440814
2020-08-06,1.186016410358738
2020-11-07,1.093668588916529
2019-07-19,1.072633352120318
2025-03-12,1.093217568109031
2024-04-25,1.0813747483121505
2021-07-01,1.0752013190653347
2022-06-08,1.0903673853825786
2021-09-12,1.1308502722881426
2021-10-13,1.0448514864863665
2021-09-21,1.1015285114844053
2021-10-20,1.0581264448465904
2022-11-29,1.0634433115024222
2024-04-16,1.1178186062203355
2025-03-21,1.1083672455887932
2022-08-28,1.1455813788586207
2019-01-09,1.0499175219845402
2025-05-02,1.1328150480696433
2021-01-11,1.0744611991646584
2020-06-26,1.1088702190111084
2020-09-27,1.1318109859413232
2020-10-26,1.0522330188881504
2025-04-10,1.080559157814871
2024-03-27,1.0578239888508647
2022-07-29,1.0669819073472961
2024-12-16,1.1075315787655984
2020-01-17,1.0680090777364653
2021-06-20,1.1041990725520576
2024-05-04,1.069553725669121
2020-11-25,1.0949057822580268
2020-08-24,1.1004087441634642
2025-05-13,1.128423413233844
2024-02-24,1.0794778223178245
2019-01-18,1.045617500750264
2021-10-31,1.0830896762662416
2021-09-30,1.083622559316961
2019-09-28,1.0781376251327537
2019-10-29,1.0617785333910255
2021-07-23,1.1641099429619968
2025-03-30,1.0944351767897382
2024-04-07,1.1125275519835374
2024-12-07,1.0919185069060395
2021-11-23,1.0715007195619537
2021-08-22,1.094490653004614
2024-05-15,1.0858656995030893
2025-02-22,1.0442049468477113
2019-06-29,1.1182593840044073
2020-01-06,1.0481574427831868
2025-04-01,1.0920405218010911
2020-07-25,1.1101260956273353
