,time,mp_concentration
0,2021-11-25,14.547681823506794
1,2021-08-24,14.624168209251222
2,2024-05-13,14.696244976882605
3,2020-10-31,14.661264656775035
4,2020-09-30,14.600078911965849
5,2018-09-28,14.73309066942357
6,2018-10-29,14.742376248758008
7,2020-07-23,14.74343431246613
8,2024-03-30,14.522184322933587
9,2020-11-23,14.736671572898171
10,2020-08-22,14.668278151325845
11,2024-02-22,14.536124159388727
12,2021-01-06,14.589005938881707
13,2024-04-01,14.544237000480202
14,2021-07-25,14.692503529059227
15,2020-09-21,14.55404549569351
16,2020-10-20,14.675585212685846
17,2023-11-29,14.66478592949152
18,2023-08-28,14.556978105797816
19,2024-03-21,14.535902455288037
20,2024-05-02,14.582758470223627
21,2020-01-11,14.634508794306186
22,2021-06-26,14.61598197645745
23,2021-09-27,14.595906287891474
24,2021-10-26,14.362649110064291
25,2024-04-10,14.567879831576597
26,2023-07-29,14.50428133455438
27,2021-01-17,14.627834736378503
28,2020-06-20,14.701601042156527
29,2020-06-13,14.663411364067239
30,2021-01-24,14.54022033377321
31,2023-10-08,14.526424222735068
32,2023-09-09,14.559516235502272
33,2020-11-01,14.667668082800498
34,2018-11-19,14.9153085052842
35,2018-08-18,14.865804273090706
36,2021-07-07,14.64396256295839
37,2024-04-23,14.727005274108064
38,2021-09-14,14.597643224845848
39,2021-10-15,14.520696611968264
40,2021-06-15,14.663492400738527
41,2020-01-22,14.74373552424431
42,2021-08-06,14.659825873611245
43,2021-11-07,14.52901586722245
44,2024-03-12,14.64633250334508
45,2020-07-01,14.750169530145728
46,2023-06-08,14.576809155356132
47,2020-09-12,14.54799220924776
48,2020-10-13,14.666044291387164
49,2021-07-16,14.581082693021166
50,2023-01-28,14.571986708917665
51,2021-10-04,14.603042101946112
52,2021-09-05,14.565519065152694
53,2024-02-11,14.543564243209142
54,2023-09-18,14.527022059310033
55,2023-10-19,14.34500605063072
56,2020-06-02,14.615382610888686
57,2018-11-08,14.945148348243345
58,2020-11-10,14.619700489373859
59,2020-08-11,14.771025005548616
60,2020-07-10,14.761101835800467
61,2024-03-03,14.635095927924567
62,2020-10-02,14.609138200218203
63,2020-09-03,14.596455196664907
64,2023-06-19,14.52923910031694
65,2021-06-04,14.567916527427746
66,2024-05-20,14.68803122220047
67,2021-11-16,14.593435433914124
68,2021-08-17,14.655327573857925
69,2024-03-05,14.670934013552738
70,2020-07-16,14.811125925885236
71,2022-01-28,14.423431200510842
72,2020-10-04,14.62914814205087
73,2020-09-05,14.581885414765047
74,2022-09-18,14.485080230440783
75,2021-11-25,14.547681823506794
76,2021-08-24,14.624168209251222
77,2024-05-13,14.696244976882605
78,2020-10-31,14.661264656775035
79,2020-09-30,14.600078911965849
80,2018-09-28,14.73309066942357
81,2018-10-29,14.742376248758008
82,2020-07-23,14.74343431246613
83,2024-03-30,14.522184322933587
84,2020-11-23,14.736671572898171
85,2020-08-22,14.668278151325845
86,2024-02-22,14.536124159388727
87,2021-01-06,14.589005938881707
88,2024-04-01,14.544237000480202
89,2021-07-25,14.692503529059227
90,2020-09-21,14.55404549569351
91,2020-10-20,14.675585212685846
92,2023-11-29,14.66478592949152
93,2023-08-28,14.556978105797816
94,2024-03-21,14.535902455288037
95,2024-05-02,14.582758470223627
96,2020-01-11,14.634508794306186
97,2021-06-26,14.61598197645745
98,2021-09-27,14.595906287891474
99,2021-10-26,14.362649110064291
100,2024-04-10,14.567879831576597
101,2023-07-29,14.50428133455438
102,2021-01-17,14.627834736378503
103,2020-06-20,14.701601042156527
104,2020-06-13,14.663411364067239
105,2021-01-24,14.54022033377321
106,2023-10-08,14.526424222735068
107,2023-09-09,14.559516235502272
108,2020-11-01,14.667668082800498
109,2018-11-19,14.9153085052842
110,2018-08-18,14.865804273090706
111,2021-07-07,14.64396256295839
112,2024-04-23,14.727005274108064
113,2021-09-14,14.597643224845848
114,2021-10-15,14.520696611968264
115,2021-06-15,14.663492400738527
116,2020-01-22,14.74373552424431
117,2021-08-06,14.659825873611245
118,2021-11-07,14.52901586722245
119,2024-03-12,14.64633250334508
120,2020-07-01,14.750169530145728
121,2023-06-08,14.576809155356132
122,2020-09-12,14.54799220924776
123,2020-10-13,14.666044291387164
124,2021-07-16,14.581082693021166
125,2023-01-28,14.571986708917665
126,2021-10-04,14.603042101946112
127,2021-09-05,14.565519065152694
128,2024-02-11,14.543564243209142
129,2023-09-18,14.527022059310033
130,2023-10-19,14.34500605063072
131,2020-06-02,14.615382610888686
132,2018-11-08,14.945148348243345
133,2020-11-10,14.619700489373859
134,2020-08-11,14.771025005548616
135,2020-07-10,14.761101835800467
136,2024-03-03,14.635095927924567
137,2020-10-02,14.609138200218203
138,2020-09-03,14.596455196664907
139,2023-06-19,14.52923910031694
140,2021-06-04,14.567916527427746
141,2024-05-20,14.68803122220047
142,2021-11-16,14.593435433914124
143,2021-08-17,14.655327573857925
144,2024-03-05,14.670934013552738
145,2020-07-16,14.811125925885236
146,2022-01-28,14.423431200510842
147,2020-10-04,14.62914814205087
148,2020-09-05,14.581885414765047
149,2022-09-18,14.485080230440783
150,2024-05-26,14.653393396703624
151,2022-10-19,14.606043516771322
152,2021-06-02,14.534492723006405
153,2019-08-09,14.682613997174633
154,2019-11-08,14.748668058236225
155,2021-11-10,14.517456674110587
156,2021-08-11,14.67545219022543
157,2021-07-10,14.621663717410318
158,2019-07-08,14.730194755170412
159,2021-10-02,14.585487724152818
160,2021-09-03,14.599838859939585
161,2022-06-19,14.600476450353295
162,2020-06-04,14.639916845369237
163,2024-02-17,14.546408171673171
