time,mp_concentration
2018-08-31,1.0878052057457976
2018-09-30,1.123762933176521
2018-10-31,1.1009912245944529
2018-11-30,1.0693747814156034
2018-12-31,1.0743471540026726
2019-01-31,1.0561564986512004
2019-02-28,1.0729592880523147
2019-03-31,1.0756298924522043
2019-04-30,1.0926705851951317
2019-05-31,1.106502840863425
2019-06-30,1.0816492176364034
2019-07-31,1.0861456975047432
2019-08-31,1.1243036374915365
2019-09-30,1.0797475962401388
2019-10-31,1.0834341722734693
2019-11-30,1.060351322404818
2019-12-31,1.0981043308720413
2020-01-31,1.0671630119315523
2020-02-29,1.060837051190931
2020-03-31,1.086354834931176
2020-04-30,1.099693507981031
2020-05-31,1.1032552446882051
2020-06-30,1.1174201143684395
2020-07-31,1.090441106074277
2020-08-31,1.139499740318507
2020-09-30,1.102007745675628
2020-10-31,1.069964377069196
2020-11-30,1.0962167062478823
2020-12-31,1.073820163003364
2021-01-31,1.0729089515694608
2021-02-28,1.0836846144794545
2021-03-31,1.0581165348866357
2021-04-30,1.0880118286972171
2021-05-31,1.1078303208392821
2021-06-30,1.1171741151863654
2021-07-31,1.129290858541588
2021-08-31,1.107706986907149
2021-09-30,1.1168685535059368
2021-10-31,1.0654894869389895
2021-11-30,1.0814247834329824
2021-12-31,1.0711815918891314
2022-01-31,1.0680975536686188
2022-02-28,1.0662382258010457
2022-03-31,1.093082465934242
2022-04-30,1.0816407118297504
2022-05-31,1.1241165219046299
2022-06-30,1.0992301818880572
2022-07-31,1.124221347023852
2022-08-31,1.112407968980499
2022-09-30,1.0877039971627973
2022-10-31,1.0917570001993786
2022-11-30,1.0596368728865841
2022-12-31,1.0656202725054549
2023-01-31,1.0584510522065256
2023-02-28,1.0549374960696556
2023-03-31,1.0973358239188302
2023-04-30,1.08746530740224
2023-05-31,1.1042555717475955
2023-06-30,1.1144615386023555
2023-07-31,1.080384941829079
2023-08-31,1.1119338716324825
2023-09-30,1.0958409730283027
2023-10-31,1.0853535879821976
2023-11-30,1.088636784236909
2023-12-31,1.0611411847181644
2024-01-31,1.0636350767611242
2024-02-29,1.0675570170854856
2024-03-31,1.057118309299148
2024-04-30,1.101408812878384
2024-05-31,1.0964544586726699
2024-06-30,1.0991824111582709
2024-07-31,1.15820211597346
2024-08-31,1.1041522057635818
2024-09-30,1.1006111517693098
2024-10-31,1.079124151204968
2024-11-30,1.0626773245532541
2024-12-31,1.086918002967545
2025-01-31,1.0604109219102251
2025-02-28,1.0557543625549963
2025-03-31,1.0866304713873711
2025-04-30,1.0892764214435116
2025-05-31,1.1215177280849822
2025-06-30,1.0930927015562575
